Id,Total words,Average words per sentence,Total OOV words,Average OOV words,Most frequent unigrams 1,Most frequent unigrams 2,Most frequent unigrams 3,Most frequent unigrams 4,Most frequent unigrams 5,Most frequent unigrams 6,Most frequent bigrams 1,Most frequent bigrams 2,Most frequent bigrams 3,Most frequent bigrams 4,Most frequent bigrams 5,Most frequent bigrams 6,Most frequent trigrams 1,Most frequent trigrams 2,Most frequent trigrams 3,Most frequent trigrams 4,Most frequent trigrams 5,Most frequent trigrams 6
201,505,16.833333333333332,121,0.08450704225352113,10,5,5,4,4,3,2,2,2,2,2,1,1,1,1,1,1,1
202,211,10.55,71,0.13658536585365855,3,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1
203,320,13.91304347826087,91,0.08860759493670886,9,5,5,4,4,3,3,3,2,1,1,1,1,1,1,1,1,1
204,336,13.44,111,0.14156626506024098,4,4,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1
205,339,18.833333333333332,86,0.09580838323353294,9,9,4,4,4,3,3,2,2,1,1,1,1,1,1,1,1,1
206,278,12.636363636363637,99,0.1575091575091575,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1
207,553,15.36111111111111,145,0.1150278293135436,9,5,5,4,4,4,4,2,2,2,2,2,2,1,1,1,1,1
208,146,24.333333333333332,44,0.07586206896551724,7,7,6,3,3,2,5,3,2,1,1,1,2,1,1,1,1,1
209,418,10.45,116,0.07804878048780488,15,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3
210,647,13.479166666666666,172,0.0794392523364486,11,11,10,7,7,5,10,2,2,2,2,2,2,2,2,2,1,1
211,292,11.68,93,0.11805555555555555,5,4,4,4,2,2,4,1,1,1,1,1,1,1,1,1,1,1
212,196,12.25,71,0.16062176165803108,5,4,4,3,2,2,4,3,2,2,2,1,3,2,2,1,1,1
213,863,12.880597014925373,265,0.10426540284360189,12,7,7,7,7,6,5,4,3,2,2,2,2,1,1,1,1,1
214,180,25.714285714285715,30,0.08379888268156424,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
215,395,14.62962962962963,113,0.13178294573643412,13,11,5,5,4,3,5,3,2,2,2,2,1,1,1,1,1,1
216,104,17.333333333333332,27,0.09803921568627451,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
217,271,16.9375,99,0.1760299625468165,4,3,3,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1
218,151,18.875,59,0.174496644295302,6,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
219,291,16.166666666666668,83,0.12937062937062938,4,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1
220,387,11.057142857142857,176,0.2275132275132275,10,6,5,4,4,3,2,2,1,1,1,1,1,1,1,1,1,1
221,152,16.88888888888889,33,0.13071895424836602,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
