Id,Total words,Average words per sentence,Total OOV words,Average OOV words,Most frequent unigrams 1,Most frequent unigrams 2,Most frequent unigrams 3,Most frequent unigrams 4,Most frequent unigrams 5,Most frequent unigrams 6,Most frequent bigrams 1,Most frequent bigrams 2,Most frequent bigrams 3,Most frequent bigrams 4,Most frequent bigrams 5,Most frequent bigrams 6,Most frequent trigrams 1,Most frequent trigrams 2,Most frequent trigrams 3,Most frequent trigrams 4,Most frequent trigrams 5,Most frequent trigrams 6
139,244,18.76923076923077,39,0.08196721311475409,8,6,6,5,4,3,5,4,3,3,3,2,4,3,3,2,2,2
140,274,21.076923076923077,57,0.07326007326007326,11,7,5,4,4,3,5,3,2,2,2,2,2,2,2,2,1,1
141,345,11.89655172413793,84,0.05747126436781609,7,6,5,5,4,4,2,2,1,1,1,1,1,1,1,1,1,1
142,588,24.5,128,0.12776831345826234,12,7,6,6,6,5,3,3,2,2,1,1,1,1,1,1,1,1
143,275,19.642857142857142,63,0.08363636363636363,6,5,5,5,3,3,3,3,2,2,2,2,3,2,2,1,1,1
144,308,34.22222222222222,49,0.08737864077669903,11,9,8,4,4,3,2,2,2,2,2,2,2,2,2,1,1,1
145,303,21.642857142857142,65,0.09868421052631579,6,6,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1
146,270,18.0,60,0.07326007326007326,5,5,4,4,4,4,2,2,2,2,1,1,2,1,1,1,1,1
147,299,18.6875,73,0.1016949152542373,6,5,5,4,4,4,4,4,3,2,1,1,4,1,1,1,1,1
148,323,14.681818181818182,96,0.1526479750778816,10,9,8,6,4,4,3,2,1,1,1,1,1,1,1,1,1,1
149,419,22.05263157894737,86,0.07673860911270983,15,13,13,6,5,4,11,2,2,2,2,2,2,2,2,1,1,1
150,628,17.942857142857143,172,0.1287758346581876,11,9,9,7,6,6,4,3,2,2,2,2,1,1,1,1,1,1
151,414,14.785714285714286,64,0.06265060240963856,8,7,6,5,5,4,5,4,2,2,2,2,2,2,2,1,1,1
152,269,19.214285714285715,49,0.08614232209737828,7,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1
153,345,16.428571428571427,64,0.08529411764705883,13,9,6,6,4,4,5,4,3,2,2,2,2,2,2,1,1,1
154,404,20.2,90,0.08188585607940446,7,4,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1
155,384,18.285714285714285,112,0.15625,8,4,4,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1
156,300,13.636363636363637,94,0.16611295681063123,7,6,5,5,4,4,2,2,2,2,2,2,2,1,1,1,1,1
157,478,19.12,119,0.15368421052631578,9,7,5,5,5,4,2,2,2,2,2,2,2,2,2,2,2,1
158,413,17.208333333333332,112,0.11435523114355231,6,6,5,5,4,4,3,2,2,2,2,2,2,2,1,1,1,1
159,402,21.157894736842106,46,0.035,8,7,6,5,5,4,2,2,2,2,2,2,1,1,1,1,1,1
160,502,20.916666666666668,83,0.07341269841269842,7,6,6,6,5,4,3,2,2,2,2,2,2,2,1,1,1,1
161,256,21.333333333333332,55,0.109375,5,4,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1
162,454,20.636363636363637,110,0.12141280353200883,15,6,6,6,6,5,6,3,3,3,2,2,2,2,1,1,1,1
163,227,15.133333333333333,36,0.05286343612334802,7,7,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1
164,338,17.789473684210527,72,0.09467455621301775,6,6,6,4,3,3,3,2,2,2,2,1,2,1,1,1,1,1
165,298,18.625,57,0.09395973154362416,4,4,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1
166,248,19.076923076923077,52,0.06938775510204082,5,4,4,4,3,3,2,2,2,1,1,1,1,1,1,1,1,1
167,530,23.043478260869566,117,0.1157495256166983,8,8,8,7,5,4,7,3,2,2,2,2,2,2,1,1,1,1
168,423,16.26923076923077,100,0.0831353919239905,5,4,4,4,4,3,4,2,2,1,1,1,2,1,1,1,1,1
169,476,17.62962962962963,103,0.08385744234800839,14,11,6,6,5,5,3,3,3,2,2,2,3,3,2,2,2,1
170,539,15.852941176470589,140,0.14471243042671614,13,11,11,8,7,6,3,3,2,2,2,2,1,1,1,1,1,1
171,406,15.615384615384615,67,0.0691358024691358,14,9,4,4,4,3,9,3,3,3,2,2,3,3,2,2,1,1
172,536,18.482758620689655,120,0.08662900188323917,13,11,8,7,7,6,5,5,4,3,2,2,3,2,2,2,1,1
173,366,22.875,68,0.08108108108108109,9,7,6,5,5,4,2,2,2,2,2,2,2,2,1,1,1,1
